                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     49,                 1.5073,                 1.2012,                 1.3045,                0.65142,                0.64826,                0.66244,                0.34677,                 1.7832,                 1.3645,                 1.4567,             0.00037471,             0.00037471,             0.00037471
                     50,                 1.5079,                 1.1826,                 1.2916,                0.64421,                0.62204,                0.63622,                0.32642,                 1.7747,                 1.3443,                 1.4781,             0.00036764,             0.00036764,             0.00036764
                     51,                 1.4959,                 1.1695,                 1.2864,                0.63387,                0.59163,                0.60123,                0.31996,                  1.734,                 1.3908,                 1.4369,             0.00036057,             0.00036057,             0.00036057
                     52,                 1.4951,                 1.1451,                 1.2717,                0.65522,                0.63474,                0.62167,                0.31833,                 1.8004,                 1.3486,                 1.4498,              0.0003535,              0.0003535,              0.0003535
                     53,                 1.4935,                 1.1391,                 1.2706,                0.64762,                 0.6296,                0.64327,                0.33851,                 1.7645,                 1.3563,                  1.459,             0.00034643,             0.00034643,             0.00034643
                     54,                 1.4687,                 1.1671,                  1.278,                0.61849,                0.65587,                0.64211,                0.33836,                 1.7317,                 1.3494,                 1.4489,             0.00033936,             0.00033936,             0.00033936
                     55,                 1.4646,                 1.1445,                 1.2763,                0.69162,                0.64332,                0.66423,                0.35036,                 1.7231,                 1.2556,                  1.441,              0.0003323,              0.0003323,              0.0003323
                     56,                 1.4481,                 1.1163,                 1.2586,                0.67286,                  0.639,                 0.6483,                0.34479,                 1.7359,                 1.3381,                 1.4428,             0.00032523,             0.00032523,             0.00032523
                     57,                 1.4308,                 1.1252,                  1.265,                0.69997,                0.62249,                0.64894,                0.33871,                 1.7368,                 1.2907,                 1.4345,             0.00031816,             0.00031816,             0.00031816
                     58,                 1.4419,                 1.1133,                 1.2546,                0.68592,                  0.645,                0.66463,                0.36491,                 1.7303,                 1.3102,                 1.4247,             0.00031109,             0.00031109,             0.00031109
                     59,                 1.4326,                 1.0943,                 1.2526,                0.60822,                0.68112,                0.64445,                0.33506,                 1.7901,                  1.316,                 1.4676,             0.00030402,             0.00030402,             0.00030402
                     60,                 1.4213,                 1.0592,                  1.246,                0.71443,                0.64097,                0.67879,                0.36829,                 1.7222,                 1.2798,                 1.4382,             0.00029695,             0.00029695,             0.00029695
                     61,                 1.4221,                 1.0586,                 1.2399,                0.65264,                0.64952,                0.65124,                0.35488,                 1.7278,                 1.3143,                 1.4355,             0.00028988,             0.00028988,             0.00028988
                     62,                  1.447,                 1.0946,                 1.2623,                0.68248,                0.67734,                0.67313,                0.35135,                 1.7641,                 1.2696,                 1.4561,             0.00028282,             0.00028282,             0.00028282
                     63,                 1.3931,                 1.0561,                 1.2393,                0.68357,                0.63745,                0.67354,                0.35219,                 1.7505,                 1.2731,                 1.4562,             0.00027575,             0.00027575,             0.00027575
                     64,                 1.4032,                 1.0348,                 1.2344,                0.73687,                0.63806,                0.68588,                0.35754,                 1.7151,                 1.2578,                 1.4278,             0.00026868,             0.00026868,             0.00026868
                     65,                 1.4096,                 1.0573,                 1.2424,                0.71209,                0.59774,                0.63593,                0.33284,                 1.7768,                 1.2771,                 1.4423,             0.00026161,             0.00026161,             0.00026161
                     66,                 1.3918,                 1.0309,                 1.2341,                 0.6524,                0.63516,                 0.6277,                0.33048,                 1.7645,                  1.294,                 1.4438,             0.00025454,             0.00025454,             0.00025454
                     67,                 1.3841,                  1.029,                 1.2273,                0.59723,                0.65479,                 0.6335,                0.33943,                 1.7546,                 1.2533,                 1.4719,             0.00024747,             0.00024747,             0.00024747
                     68,                 1.3773,                  1.024,                 1.2285,                0.63929,                0.65356,                0.65371,                0.35139,                 1.7113,                 1.2781,                 1.4294,              0.0002404,              0.0002404,              0.0002404
                     69,                 1.3681,                 1.0103,                 1.2153,                 0.6758,                0.65229,                0.66978,                0.34829,                 1.7483,                  1.295,                 1.4488,             0.00023334,             0.00023334,             0.00023334
                     70,                 1.3631,                 1.0121,                 1.2246,                0.64782,                0.67322,                0.65764,                0.34599,                 1.7805,                  1.273,                 1.4663,             0.00022627,             0.00022627,             0.00022627
                     71,                 1.3602,                 0.9776,                   1.22,                0.67973,                0.67836,                0.66786,                0.34343,                 1.7593,                 1.2227,                 1.4424,              0.0002192,              0.0002192,              0.0002192
